 Idle Max, Packet Length Std, Packet Length Mean, Average Packet Size, URG Flag Count, Bwd IAT Mean, Flow Duration, Bwd IAT Max,Bwd IAT Total, Bwd Packet Length Std,Label
10001143,0,0,0,0,0,114456999,0,0,0,0.000 
9978130,0,0,0,0,0,114347504,0,0,0,0.000 
36373056,21.082,28.222,31.75,1,2,36435473,2,2,0,0.000 
36372291,21.082,28.222,31.75,1,2,36434705,2,2,0,0.000 
36372216,21.082,28.222,31.75,1,2,36434626,2,2,0,0.000 
0,0,6,9,1,0,3,0,0,0,0.000 
0,0,6,9,1,0,2,0,0,0,0.000 
0,0,6,9,1,0,2,0,0,0,0.000 
10912366,0,300,360,0,0,28870362,0,0,0,0.000 
18391321,0,0,0,0,3035014.077,118365715,18391527,118365549,0,1.000 
34372952,21.082,28.222,31.75,1,2,34435249,2,2,0,0.000 
34372904,21.082,28.222,31.75,1,3,34435196,3,3,0,0.000 
34363516,21.082,28.222,31.75,1,3,34425788,3,3,0,0.000 
0,19.98,33.8,42.25,1,0,221,0,0,0,0.000 
0,17.907,33.333,40,1,0,171,0,0,0,0.000 
0,17.05,28.2,35.25,1,0,258,0,0,0,0.000 
0,0,0,0,1,151.5,39233,301,303,0,0.000 
0,17.898,20.667,31,1,0,1,0,0,0,0.000 
0,13.856,16,24,1,0,1,0,0,0,0.000 
0,12,18,24,1,0,4,0,0,0,0.000 
0,3.098,3.6,4,1,84.4,509,416,422,0,0.000 
0,0,0,0,1,3,96,3,3,0,0.000 
0,0,0,0,1,0,4,0,0,0,0.000 
0,0,0,0,1,2,69,2,2,0,0.000 
0,19.98,33.8,42.25,1,0,60,0,0,0,0.000 
0,17.898,20.667,31,1,0,1,0,0,0,0.000 
0,0,0,0,1,0,4,0,0,0,0.000 
0,0,0,0,1,2,72,2,2,0,0.000 
0,0,6,7,0,3,169805,3,3,0,1.000 
38788130,0,0,0,0,0,117049586,0,0,0,0.000 
6021681,0,0,0,0,0,9029034,0,0,0,0.000 
0,19.98,33.8,42.25,1,0,110,0,0,0,0.000 
0,17.898,20.667,31,1,0,2,0,0,0,0.000 
0,16.008,10.333,12.4,1,0,932,0,0,0,0.000 
0,3.098,4,4.8,1,1,61,2,3,0,0.000 
0,19.98,33.8,42.25,1,0,196,0,0,0,0.000 
0,19.98,33.8,42.25,1,0,126,0,0,0,0.000 
0,17.898,20.667,31,1,0,1,0,0,0,0.000 
0,17.898,20.667,31,1,0,1,0,0,0,0.000 
0,0,0,0,1,0,4,0,0,0,0.000 
0,0,0,0,1,3,99,3,3,0,0.000 
0,0,0,0,1,0,4,0,0,0,0.000 
0,0,0,0,1,3,91,3,3,0,0.000 
0,0,6,7,0,2,155801,2,2,0,1.000 
0,0,6,9,1,0,1,0,0,0,0.000 
0,13.102,25,29.167,1,2,135798,2,2,0,0.000 
0,0,6,7,0,3,90305,3,3,0,1.000 
6000383,0,0,0,0,0,9014948,0,0,0,0.000 
0,0,6,7.5,0,2,163,2,2,0,1.000 
0,225.656,100.432,101.808,0,262214.795,10226642,2507844,10226377,272.169,1.000 
0,0,0,0,1,0,998,0,0,0,1.000 
0,0,0,0,1,3,394087,3,3,0,1.000 
0,8.764,40.4,50.5,0,3,21046,3,3,0,0.000 
